floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0000951,16,25.0%,0.0%,25.0%,,,,,,
TG_0000952,19,236.8%,31.6%,115.8%,,,,,,
TG_0001192,10,,,,,,,,,
TG_0001193,14,,,21.4%,,,,,14.3%,
TG_0001194,20,20.0%,10.0%,30.0%,,,5.0%,,,
TG_0001195,1,,,,,,,,,
TG_0001196,48,37.5%,0.0%,39.6%,,,2.1%,,,
TG_0001197,58,37.9%,29.3%,34.5%,,,,,,
TG_0001198,67,137.3%,40.3%,95.5%,,,,1.5%,1.5%,1.5%
TG_0001199,6,33.3%,0.0%,66.7%,,,,,,
TG_0001324,5,,,,,,,,,
TG_0001325,2,,,,,,,,,
TG_0001326,3,,,,,,,,,
TG_0001328,2,,,,,,,,,
TG_0001329,2,,,,,,,,,
TG_0001330,11,,,9.1%,,,,,,
TG_0001331,4,,,75.0%,,25.0%,,,,
TG_0001403,16,,,,,,,,,
TG_0001404,5,,,,,,,,,
TG_0001405,19,,,,,,,,,
TG_0001409,12,,,,,,,,,
TG_0001410,5,,,,,,,,,
TG_0001411,1,,,,,,,,,
TG_0001412,3,,,,,,,,,
TG_0001413,5,,,,,,,,,
TG_0001418,1,,,,,,,,,
TG_0001420,2,,,,,,,,,
TG_0001421,8,,,12.5%,,,,,,
TG_0001422,8,,,25.0%,,,25.0%,,,
TG_0001424,7,,,,,,,,,
TG_0001437,1,,,,,,,,,
TG_0001470,1,,,,,,,,,
TG_0001471,2,,,,,,,,,
TG_0001472,3,,,,,,,,,
TG_0001474,2,,,,,,,,,
TG_0001478,8,,,,,,,,,
TG_0001479,9,,,11.1%,,11.1%,,,,
TG_0001480,1,,,,,,,,,
TG_0001482,2,,,,,,,,,
TG_0001488,4,,,,,,,,,
TG_0001491,10,,,10.0%,,,,,,
TG_0001492,8,,,,,,,,,
TG_0001496,1,,,,,,,,,
TG_0001498,6,,,16.7%,,,,,,
TG_0001499,1,,,,,,,,,
TG_0001500,2,,,,,,,,,
TG_0001504,23,,,,,,,,,
TG_0001505,19,,,,,,,,,
TG_0001506,19,,,,,,,,,
TG_0001507,15,,,6.7%,,,,,,
TG_0001508,2,,,,,,,,,
TG_0001514,7,,,,,,,,,
TG_0001515,4,,,,,,,,,
TG_0001519,8,,,,,,,,,
TG_0001520,11,,,,,,,,,
TG_0001522,1,,,100.0%,,,,,,
TG_0001527,4,,,,,,,,,
TG_0001528,6,,,,,,,,,
TG_0001529,6,,,,,,,,,
TG_0001531,2,,,,,,,,,
TG_0001534,1,,,,,,,,,
TG_0001535,1,,,,,,,,,
TG_0001537,4,,,25.0%,,,25.0%,,,
TG_0001544,5,,,,,,,,,
TG_0001545,4,,,,,,,,,
TG_0001546,2,,,,,,,,,
TG_0001552,2,,,,,,,,,
TG_0001553,3,,,,,,,,,
TG_0001554,3,,,,,,,,,
TG_0001555,7,,,28.6%,,,,,,
TG_0001562,4,,,,,,,,,
TG_0001564,4,,,,,,,,,
TG_0001565,6,,,16.7%,,,,,,16.7%
TG_0001566,1,,,,,,,,,
TG_0001567,4,,,50.0%,,,,,50.0%,
TG_0001574,11,,,,,,,,,
TG_0001575,6,,,,,,,,,
TG_0001579,1,,,,,,,,,
TG_0001580,6,,,,,,,,,
TG_0001582,5,,,,,,,,,
TG_0001586,6,,,33.3%,,16.7%,,,,
TG_0001588,1,,,100.0%,,,100.0%,,,
TG_0001589,2,,,,,,,,,
TG_0001590,2,,,,,,,,,
TG_0001591,1,,,100.0%,,,,,,100.0%
TG_0001814,15,,,,,,,,,
TG_0001815,17,,,5.9%,,,,,5.9%,
TG_0001816,8,12.5%,0.0%,12.5%,,,,,,
TG_0001817,12,0.0%,16.7%,33.3%,,,,16.7%,,
TG_0001819,37,2.7%,0.0%,13.5%,,,,5.4%,,2.7%
TG_0001820,29,,,,,,,,,
TG_0001821,10,,,,,,,,,
TG_0001824,12,66.7%,0.0%,41.7%,,,,,,
TG_0001825,11,109.1%,0.0%,81.8%,,,,,,
TG_0001826,23,13.0%,0.0%,13.0%,,,,,,
TG_0001827,50,0.0%,2.0%,4.0%,,,,,,
TG_0001830,37,8.1%,2.7%,10.8%,,,,,,
TG_0001831,8,,,25.0%,,12.5%,,,,
TG_0001832,10,,,70.0%,,30.0%,,10.0%,,
TG_0001833,22,,,22.7%,,13.6%,,9.1%,,
TG_0001834,20,,,35.0%,,5.0%,,10.0%,,
TG_0001835,44,70.5%,0.0%,43.2%,,13.6%,,,,
TG_0001842,33,3.0%,6.1%,12.1%,,,,,3.0%,
TG_0001846,12,,,8.3%,,8.3%,,,,
TG_0001847,57,5.3%,0.0%,12.3%,,5.3%,1.8%,,,
TG_0001848,52,34.6%,0.0%,21.2%,,,,7.7%,,
TG_0001850,53,17.0%,1.9%,15.1%,,3.8%,,,,
TG_0001851,6,,,,,,,,,
TG_0001852,27,,,3.7%,,,,,,
TG_0001855,28,3.6%,7.1%,21.4%,,,,,3.6%,
TG_0001856,33,9.1%,27.3%,39.4%,,,3.0%,,3.0%,3.0%
TG_0001857,18,5.6%,22.2%,66.7%,,11.1%,,27.8%,16.7%,
TG_0001865,2,,,,,,,,,
TG_0001868,2,,,,,,,,,
TG_0001870,19,,,,,,,,,
TG_0001871,9,,,,,,,,,
TG_0001872,1,,,,,,,,,
TG_0001925,23,13.0%,26.1%,47.8%,,,4.3%,4.3%,,
TG_0001934,26,15.4%,11.5%,19.2%,,7.7%,,,,
TG_0002045,2,,,,,,,,,
TG_0002046,18,,,,,,,,,
TG_0002047,4,,,,,,,,,
TG_0002048,18,,,,,,,,,
TG_0002049,39,,,10.3%,,,,,7.7%,
TG_0002051,4,,,25.0%,,,,,,
TG_0002052,14,,,,,,,,,
TG_0002053,1,,,,,,,,,
TG_0002055,6,,,16.7%,,,,,,
TG_0002056,4,,,25.0%,,,,,,
TG_0002057,20,,,,,,,,,
TG_0002058,29,,,3.4%,,,,3.4%,,
TG_0002059,28,,,,,,,,,
TG_0002060,28,,,21.4%,,3.6%,3.6%,,3.6%,
TG_0002062,7,,,,,,,,,
